"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CANTEMIR,CANTEMIR,480,"Alegeri Prezidentiale",1,0,619,0,619,0,619,0,5001,4382,594,25
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,LEOVA,LEOVA,481,"Alegeri Prezidentiale",1,0,557,0,557,0,556,1,5001,4444,528,28
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CIMIȘLIA,CIMIȘLIA,482,"Alegeri Prezidentiale",1,0,677,0,677,0,675,2,4999,4322,651,24
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CARABETOVCA,CARABETOVCA,483,"Alegeri Prezidentiale",1,0,213,0,213,0,213,0,2998,2785,205,8
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,GIURGIULEȘTI,GIURGIULEȘTI,484,"Alegeri Prezidentiale",1,0,462,0,462,0,461,1,5007,4545,419,42
48,STRĂINĂTATE,MUNTENEGRU,9999,PODGORICA,PODGORICA,485,"Alegeri Prezidentiale",1,0,25,0,25,0,24,1,400,375,20,4
48,STRĂINĂTATE,NORVEGIA,9999,OSLO,OSLO,488,"Alegeri Prezidentiale",1,0,226,0,226,0,223,3,3501,3275,205,18
48,STRĂINĂTATE,NORVEGIA,9999,OPPÅKERMOEN,OPPÅKERMOEN,489,"Alegeri Prezidentiale",1,0,248,0,248,0,245,3,3500,3252,235,10
48,STRĂINĂTATE,NORVEGIA,9999,KRISTIANSAND,KRISTIANSAND,490,"Alegeri Prezidentiale",1,0,212,0,212,0,207,5,3500,3288,191,16
48,STRĂINĂTATE,NORVEGIA,9999,TRONDHEIM,TRONDHEIM,494,"Alegeri Prezidentiale",1,0,199,0,199,0,197,2,3500,3301,182,15
48,STRĂINĂTATE,NORVEGIA,9999,TROMSØ,TROMSØ,495,"Alegeri Prezidentiale",2,0,192,0,192,0,192,0,3500,3308,185,7
48,STRĂINĂTATE,NIGERIA,9999,ABUJA,ABUJA,496,"Alegeri Prezidentiale",1,0,21,0,21,0,21,0,200,179,19,2
48,STRĂINĂTATE,OLANDA,9999,AMSTERDAM,AMSTERDAM,498,"Alegeri Prezidentiale",1,0,1168,0,1168,0,1164,4,3600,2432,1122,42
48,STRĂINĂTATE,OLANDA,9999,AMSTERDAM,AMSTERDAM,499,"Alegeri Prezidentiale",1,0,800,0,800,0,793,7,3600,2800,766,27
48,STRĂINĂTATE,OLANDA,9999,AMSTERDAM,AMSTERDAM,500,"Alegeri Prezidentiale",2,0,888,0,888,0,871,17,3600,2712,844,27
48,STRĂINĂTATE,OLANDA,9999,AMSTERDAM,AMSTERDAM,501,"Alegeri Prezidentiale",1,0,716,0,716,0,701,15,3600,2884,685,16
48,STRĂINĂTATE,OLANDA,9999,HAGA,HAGA,502,"Alegeri Prezidentiale",1,0,381,0,381,0,377,4,3600,3219,350,27
